Time,S(t),I_h(t),R_h(t),S_v(t),I_v(t)
0,2,2,4,7,5
0.03003003,4.748381,2.2151,4.004923,9.830283,4.9043922
0.06006006,7.3081746,2.613345,4.0105867,12.60357,4.8120546
0.09009009,9.699171,3.17196,4.0174026,15.320391,4.7235117
0.12012012,11.938645,3.871058,4.0257316,17.981121,4.639424
0.15015015,14.041571,4.6933746,4.035889,20.586016,4.560549
0.18018018,16.0208,5.6240478,4.048153,23.135244,4.487713
0.21021021,17.887213,6.650423,4.062767,25.628908,4.421788
0.24024024,19.649858,7.761883,4.079948,28.067066,4.3636737
0.27027027,21.316072,8.949692,4.0998893,30.449743,4.314281
0.3003003,22.891584,10.206854,4.122765,32.776943,4.274525
0.33033033,24.380627,11.527981,4.148735,35.048653,4.2453184
0.36036036,25.78603,12.909163,4.177948,37.26485,4.2275662
0.39039039,27.109327,14.347851,4.2105446,39.425503,4.222167
0.42042042,28.350843,15.84273,4.2466607,41.53057,4.2300115
0.45045045,29.509802,17.393604,4.286431,43.579998,4.2519855
0.48048048,30.584421,19.001274,4.32999,45.573715,4.288975
0.510510511,31.572033,20.667408,4.3774757,47.51163,4.3418665
0.540540541,32.469196,22.394411,4.429032,49.39364,4.411555
0.570570571,33.27183,24.185278,4.4848075,51.2196,4.4989448
0.600600601,33.97536,26.043447,4.54496,52.98935,4.6049557
0.630630631,34.57487,27.972631,4.609655,54.70269,4.730524
0.660660661,35.065285,29.97664,4.679067,56.35939,4.876604
0.690690691,35.441547,32.059193,4.753381,57.95919,5.044167
0.720720721,35.69885,34.2237,4.8327885,59.5018,5.2341995
0.750750751,35.832836,36.47307,4.9174905,60.986904,5.4476976
0.780780781,35.83986,38.809452,5.007693,62.414173,5.685659
0.810810811,35.7172,41.234043,5.103606,63.78327,5.949073
0.840840841,35.463333,43.74683,5.205442,65.09388,6.2389054
0.870870871,35.078156,46.346394,5.3134103,66.345695,6.556084
0.900900901,34.563198,49.029716,5.4277163,67.538475,6.901477
0.930930931,33.921825,51.79202,5.5485554,68.672035,7.2758703
0.960960961,33.159363,54.626656,5.6761093,69.746284,7.679948
0.990990991,32.283173,57.525078,5.8105416,70.76125,8.114262
1.021021021,31.302666,60.476856,5.9519935,71.71712,8.57921
1.051051051,30.229212,63.4698,6.100578,72.61421,9.075014
1.081081081,29.075962,66.49016,6.2563777,73.453064,9.601692
1.111111111,27.857576,69.52292,6.4194403,74.23441,10.159049
1.141141141,26.589859,72.55221,6.5897765,74.959206,10.746657
1.171171171,25.289322,75.561714,6.767359,75.628624,11.363855
1.201201201,23.97269,78.535194,6.9521194,76.24407,12.009746
1.231231231,22.656378,81.45701,7.143953,76.807175,12.683204
1.261261261,21.355967,84.3126,7.342717,77.31975,13.382894
1.291291291,20.085733,87.08896,7.5482373,77.7838,14.10729
1.321321321,18.858234,89.77501,7.7603097,78.20148,14.854709
1.351351351,17.683996,92.361885,7.978706,78.57506,15.623337
1.381381381,16.571312,94.84307,8.203179,78.90689,16.41127
1.411411411,15.526165,97.21446,8.433471,79.19939,17.216547
1.441441441,14.552278,99.47427,8.669314,79.45495,18.03719
1.471471471,13.651255,101.62284,8.910442,79.675964,18.87123
1.501501502,12.822821,103.66235,9.1565895,79.864784,19.716743
1.531531532,12.065116,105.59654,9.407498,80.02366,20.571878
1.561561562,11.375023,107.43032,9.662922,80.15476,21.434864
1.591591592,10.748501,109.169426,9.922626,80.26015,22.304037
1.621621622,10.180901,110.8201,10.186389,80.34176,23.177841
1.651651652,9.667252,112.3888,10.454008,80.401405,24.054834
1.681681682,9.2024975,113.88195,10.725293,80.44079,24.933693
1.711711712,8.781688,115.30576,11.000072,80.46147,25.813208
1.741741742,8.400114,116.6661,11.278183,80.46492,26.692274
1.771771772,8.053406,117.96839,11.559482,80.45248,27.569893
1.801801802,7.7375803,119.21759,11.843834,80.425385,28.44516
1.831831832,7.449067,120.418144,12.131119,80.3848,29.317255
1.861861862,7.184702,121.574036,12.421224,80.331795,30.185438
1.891891892,6.941708,122.68878,12.714046,80.26735,31.049044
1.921921922,6.7176647,123.765495,13.009489,80.19238,31.907469
1.951951952,6.510472,124.806915,13.307467,80.10775,32.76017
1.981981982,6.3183103,125.81545,13.607898,80.014244,33.60666
2.012012012,6.1396065,126.793236,13.910704,79.9126,34.44649
2.042042042,5.972998,127.74214,14.215815,79.803505,35.27927
2.072072072,5.8173027,128.66385,14.523162,79.68761,36.104637
2.102102102,5.6714897,129.55984,14.832684,79.565506,36.922268
2.132132132,5.5346594,130.43146,15.144319,79.43777,37.731873
2.162162162,5.4060216,131.2799,15.45801,79.30492,38.53319
2.192192192,5.284879,132.10626,15.773703,79.16745,39.325993
2.222222222,5.1706147,132.91153,16.091347,79.02583,40.11007
2.252252252,5.0626793,133.69662,16.41089,78.8805,40.885242
2.282282282,4.9605827,134.46237,16.732288,78.73186,41.65135
2.312312312,4.8638844,135.20955,17.055492,78.580284,42.40825
2.342342342,4.772189,135.93886,17.38046,78.42615,43.155823
